Sample;Technique;Pool;n Proteins Total;n PTM Total;n Peptides Total;n Proteins Filtered;n PTM Filtered;n Peptides Filtered;% Proteins with PTM / Total;% Peptides with PTM / Total
Whole_milk_POOL_1_filtered_vcp;Whole_milk;POOL_1;70;109;240;19;35;39;27.142857142857142;16.25
Whole_milk_POOL_2_filtered_vcp;Whole_milk;POOL_2;64;130;346;12;42;41;18.75;11.84971098265896
Whole_milk_POOL_3_filtered_vcp;Whole_milk;POOL_3;46;105;305;6;27;28;13.043478260869565;9.180327868852459
ExoGAG_POOL_1_filtered_vcp;ExoGAG;POOL_1;228;58;1741;14;27;27;6.140350877192983;1.5508328546812178
ExoGAG_POOL_2_filtered_vcp;ExoGAG;POOL_2;292;66;1918;12;37;23;4.109589041095891;1.1991657977059438
ExoGAG_POOL_3_filtered_vcp;ExoGAG;POOL_3;196;59;1302;13;33;26;6.63265306122449;1.9969278033794162
IP_CD9_POOL_1_filtered_vcp;IP_CD9;POOL_1;71;9;316;4;4;4;5.633802816901408;1.2658227848101267
IP_CD9_POOL_2_filtered_vcp;IP_CD9;POOL_2;102;12;616;4;4;4;3.9215686274509802;0.6493506493506493
IP_CD9_POOL_3_filtered_vcp;IP_CD9;POOL_3;54;11;259;3;4;4;5.555555555555555;1.5444015444015444
SEC_POOL_1_filtered_vcp;SEC;POOL_1;118;72;786;13;42;35;11.016949152542374;4.4529262086514
SEC_POOL_2_filtered_vcp;SEC;POOL_2;170;61;885;12;40;28;7.0588235294117645;3.1638418079096047
SEC_POOL_3_filtered_vcp;SEC;POOL_3;97;98;740;9;47;36;9.278350515463918;4.864864864864865
UC_POOL_1_filtered_vcp;UC;POOL_1;192;54;1263;12;36;40;6.25;3.1670625494853524
UC_POOL_2_filtered_vcp;UC;POOL_2;197;55;1203;12;26;28;6.091370558375634;2.3275145469659186
UC_POOL_3_filtered_vcp;UC;POOL_3;170;52;861;8;27;23;4.705882352941177;2.671312427409988
